cast,director,id,budget,genres,imdb_id,original_language,popularity,poster_path,production_companies,release_date,revenue,status,title,imdb_rating
Susan Sarandon,Tim Robbins,687,11000000.0,Drama,0112818,en,6.891317,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,Havoc,1995-12-29,39363635.0,Released,Dead Man Walking,7.3
Christopher Lambert,Paul W.S. Anderson,9312,18000000.0,Action,0113855,en,10.870138,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,New Line Cinema,1995-08-18,122195920.0,Released,Mortal Kombat,5.4
Nicole Kidman,Gus Van Sant,577,20000000.0,Fantasy,0114681,en,10.448481,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,The Rank Organisation,1995-05-20,21284514.0,Released,To Die For,6.7
Winona Ryder,Jocelyn Moorhouse,11861,10000000.0,Drama,0113347,en,4.485958,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,Universal Pictures,1995-10-06,23574130.0,Released,How To Make An American Quilt,6.5
Brad Pitt,David Fincher,807,33000000.0,Crime,0114369,en,18.45743,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,New Line Cinema,1995-09-22,327311859.0,Released,Se7en,8.1
Irene Bedard,Mike Gabriel,10530,55000000.0,Adventure,0114148,en,13.280069000000001,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,Walt Disney Pictures,1995-06-14,346079773.0,Released,Pocahontas,6.7
Stephen Baldwin,Bryan Singer,629,6000000.0,Drama,0114814,en,16.302466,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,Blue Parrot Productions,1995-07-19,23341568.0,Released,The Usual Suspects,8.1
Woody Allen,Woody Allen,11448,15000000.0,Comedy,0113819,en,15.899134,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,Miramax Films,1995-09-13,6700000.0,Released,Mighty Aphrodite,6.7
Ice Cube,F. Gary Gray,10634,3500000.0,Comedy,0113118,en,14.56965,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,New Line Cinema,1995-04-26,28215918.0,Released,Friday,7.0
George Clooney,Robert Rodriguez,755,19000000.0,Horror,0116367,en,15.339153,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,A Band Apart,1996-01-19,25836616.0,Released,From Dusk Till Dawn,6.9
William Baldwin,Andrew Sipes,11859,50000000.0,Action,0113010,en,5.912223,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,Silver Pictures,1995-11-03,11534477.0,Released,Fair Game,4.1
Rick Moranis,Steve Miner,36929,15000000.0,Comedy,0115676,en,2.936443,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg,Warner Bros.,1996-01-26,2042530.0,Released,Big Bully,3.9
Peter Weller,Christian Duguay,9102,20000000.0,Horror,0114367,en,12.758848,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,The Movie Network (TMN),1995-09-08,5781885.0,Released,Screamers,6.1
Andy García,Gary Fleder,400,8000000.0,Drama,0114660,en,4.486179,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,Miramax Films,1995-12-01,529766.0,Released,Things to Do in Denver When You're Dead,6.7
Jeff Bridges,Ridley Scott,10534,38000000.0,Action,0118158,en,9.568603999999999,/3a5nomeyzJF4gG26HouCtce99ki.jpg,Hollywood Pictures,1996-02-02,10300000.0,Released,White Squall,6.3
Johnny Depp,John Badham,2086,8169363.0,Crime,0113972,en,6.848591000000001,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,Paramount Pictures,1995-11-22,8175346.0,Released,Nick of Time,6.1
Julia Roberts,Stephen Frears,9095,47000000.0,Drama,0117002,en,12.866139,/Oesh4pN5J2ing4flkgkiVdxILP.jpg,TriStar Pictures,1996-02-23,12379402.0,Released,Mary Reilly,5.7
Eddie Murphy,Wes Craven,12158,14000000.0,Comedy,0114825,en,9.071127,/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg,Paramount Pictures,1995-10-26,19800000.0,Released,Vampire in Brooklyn,4.5
John Travolta,John Woo,9208,50000000.0,Action,0115759,en,14.957626000000001,/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg,Twentieth Century Fox Film Corporation,1996-02-09,150270147.0,Released,Broken Arrow,5.7
Luke Wilson,Wes Anderson,13685,7000000.0,Comedy,0115734,en,6.904831,/iuO10cRKrMfql5yc8YTgdfHt7gR.jpg,Gracie Films,1996-02-21,560069.0,Released,Bottle Rocket,6.8
Adam Sandler,Dennis Dugan,9614,12000000.0,Comedy,0116483,en,9.592265,/pG5edeKkntnt5A799Y0UNI5hi9W.jpg,Universal Pictures,1996-02-16,41205099.0,Released,Happy Gilmore,6.5
Meryl Streep,Clint Eastwood,688,24000000.0,Drama,0112579,en,5.951077,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,Amblin Entertainment,1995-05-28,182016617.0,Released,The Bridges of Madison County,7.3
Mel Gibson,Mel Gibson,197,72000000.0,Action,0112573,en,20.755149,/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,Icon Entertainment International,1995-05-24,210000000.0,Released,Braveheart,7.7
Robert De Niro,Martin Scorsese,103,1300000.0,Crime,0075314,en,14.092713,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,Columbia Pictures Corporation,1976-02-07,28262574.0,Released,Taxi Driver,8.1
Andy García,Andrew Davis,78406,25000000.0,Comedy,0114536,en,1.522412,/dMSEHHiHaCS5lZ7gfkuAH701sBW.jpg,Savoy Pictures,1995-09-29,6278139.0,Released,Steal Big Steal Little,5.1
Eddie Murphy,Reginald Hudlin,11066,40000000.0,Comedy,0103859,en,6.506983,/3dDufFHAuVXpfMdXkDUC0M0Y5TL.jpg,Paramount Pictures,1992-06-30,70100000.0,Released,Boomerang,5.4
Ben Stiller,David O. Russell,2074,7000000.0,Comedy,0116324,en,5.579088,/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg,Miramax Films,1996-03-22,14702438.0,Released,Flirting with Disaster,6.3
David Caruso,William Friedkin,11863,50000000.0,Action,0113451,en,11.418917,/koKHFZ0FYd7yG1g3RphU6TQRVOg.jpg,Paramount Pictures,1995-10-13,9851610.0,Released,Jade,5.1
Robin Williams,Mike Nichols,11000,31000000.0,Comedy,0115685,en,6.499680000000001,/wRTkvqRTB05gcGInsnGqVgLkb3t.jpg,United Artists,1996-03-08,185260553.0,Released,The Birdcage,6.7
Will Smith,Michael Bay,9737,19000000.0,Action,0112442,en,9.262184,/1dKsSfpAqWSc5UJT9VIqK5JVFI5.jpg,Columbia Pictures,1995-04-07,141407024.0,Released,Bad Boys,6.5
Alan Rickman,Mike Newell,22279,4000000.0,Romance,0112427,en,0.922958,/e8YzXziAXKIqnWJbLI6OzbdkGYD.jpg,Fine Line Features,1995-07-21,851545.0,Released,An Awfully Big Adventure,6.0
Tom Hanks,Ron Howard,568,52000000.0,Drama,0112384,en,18.761467,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,Imagine Entertainment,1995-06-30,355237933.0,Released,Apollo 13,7.3
Liam Neeson,Michael Caton-Jones,11780,28000000.0,Adventure,0114287,en,10.193549,/8O52wIIbskNl9kZnGvP9Gi4A2oN.jpg,United Artists,1995-04-13,31596911.0,Released,Rob Roy,6.5
Val Kilmer,Joel Schumacher,414,100000000.0,Action,0112462,en,13.321354000000001,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,Warner Bros.,1995-06-16,336529144.0,Released,Batman Forever,5.2
Harvey Keitel,Paul Auster,5894,2000000.0,Comedy,0112541,en,11.528147,/qa9yf3OlfXbYBb0af0mpawGB6TI.jpg,Miramax Films,1995-09-15,1275000.0,Released,Blue in the Face,6.8
John Candy,Michael Moore,1775,11000000.0,Action,0109370,en,5.391556,/qnKARYBofUzHkBY8x9GWSNSoota.jpg,PolyGram Filmed Entertainment,1995-06-08,178104.0,Released,Canadian Bacon,5.9
Christina Ricci,Brad Silberling,8839,50000000.0,Fantasy,0112642,en,12.812539,/cpMbvFDD2C21pqMNXVPhSWGQBR9.jpg,Universal Pictures,1995-05-26,287928194.0,Released,Casper,6.0
Harvey Keitel,Spike Lee,20649,25000000.0,Mystery,0112688,en,4.558992,/ugGhvQoGBrefqmkeBvBgT4YVCRk.jpg,Universal Pictures,1995-09-15,13071518.0,Released,Clockers,6.8
Laura Linney,Frank Marshall,10329,50000000.0,Action,0112715,en,7.260574,/wjeQaiAApgzdipkNXhQnBrqjBY9.jpg,Paramount Pictures,1995-06-09,152022101.0,Released,Congo,5.0
Denzel Washington,Tony Scott,8963,53000000.0,Action,0112740,en,8.657364999999999,/oDJyDX11HW4j565vUjmFagKxDTQ.jpg,Hollywood Pictures,1995-05-12,157387195.0,Released,Crimson Tide,7.0
Antonio Banderas,Robert Rodriguez,8068,7000000.0,Thriller,0112851,en,6.950458,/7eVo5DbP7gcsDzHcpRCTA6JAuF2.jpg,Columbia Pictures,1995-08-25,25405445.0,Released,Desperado,6.8
Denzel Washington,Carl Franklin,8512,27000000.0,Drama,0112857,en,4.646132,/z0Boi5LktVxDMFnpyAqQEnYfPtM.jpg,TriStar Pictures,1995-09-15,16140822.0,Released,Devil in a Blue Dress,6.3
Bruce Willis,John McTiernan,1572,90000000.0,Action,0112864,en,15.138855,/ivpXGcsPZglyYrN65THWSD7JM3q.jpg,Twentieth Century Fox Film Corporation,1995-05-19,366101666.0,Released,Die Hard: With a Vengeance,6.9
Sean Connery,Jerry Zucker,6520,55000000.0,Action,0113071,en,15.178338,/8SRi8laZyPBdigx9qn7m3mriiRQ.jpg,Columbia Pictures Corporation,1995-07-07,127600435.0,Released,First Knight,5.9
Jonny Lee Miller,Iain Softley,10428,20000000.0,Action,0113243,en,14.810519000000001,/uu62T87qkLkapeuu7ArlnQ6tAap.jpg,United Artists,1995-09-14,7563728.0,Released,Hackers,6.2
Keanu Reeves,Robert Longo,9886,25000000.0,Adventure,0113481,en,11.715867999999999,/s9LyQtKhfUcQlZEw8hJLP6XqroO.jpg,TriStar Pictures,1995-05-26,19075720.0,Released,Johnny Mnemonic,5.5
Sylvester Stallone,Danny Cannon,9482,90000000.0,Science Fiction,0113492,en,8.184814999999999,/r17S4XlQ3Jq5U1KRovFUwU8P4aG.jpg,Hollywood Pictures,1995-06-30,113493481.0,Released,Judge Dredd,5.4
Leo Fitzpatrick,Larry Clark,9344,1500000.0,Drama,0113540,en,4.877872,/gMuV7ORN8rRfQPMImby8KRGihO2.jpg,Miramax Films,1995-07-28,7412216.0,Released,Kids,6.8
Steve Buscemi,Tom DiCillo,9071,500000.0,Drama,0113677,en,10.058328999999999,/sWWb7tX3eEX7M0B7t89Gh9rDctX.jpg,JDI productions,1995-01-20,1148752.0,Released,Living in Oblivion,7.2
Jason Lee,Kevin Smith,2293,6000000.0,Romance,0113749,en,8.255469999999999,/4saVIltqkhq9is5NmD7N87Q40M.jpg,Universal Pictures,1995-10-20,2122561.0,Released,Mallrats,6.8
Amy Jo Johnson,Bryan Spicer,9070,15000000.0,Action,0113820,en,7.024227000000001,/A3ijhraMN0tvpDnPoyVP7NulkSr.jpg,Twentieth Century Fox Film Corporation,1995-06-30,66000000.0,Released,Mighty Morphin Power Rangers: The Movie,5.2
Marina Zudina,Anthony Waller,48787,2.0,Thriller,0110604,en,2.466066,/1AJujK1IjuyxvIG8pjmef9qJsnQ.jpg,Comet Film Produktion GmbH,1995-09-28,1.0,Released,Mute Witness,6.4
Sandra Bullock,Irwin Winkler,1642,22000000.0,Crime,0113957,en,13.304342000000002,/gKDNaAFzT21cSVeKQop7d1uhoSp.jpg,Columbia Pictures,1995-07-28,110627965.0,Released,The Net,5.6
Parker Posey,Daisy von Scherler Mayer,36196,150000.0,Comedy,0114095,en,1.165039,/iYM0EdHrcbu8rhkDKVBkDcZEo8t.jpg,Party Productions,1995-06-09,472370.0,Released,Party Girl,5.8
Christopher Walken,Gregory Widen,11980,8.0,Fantasy,0114194,en,10.187623,/A3aYGp8LLxuFdzG2ETnhfbWPk7h.jpg,Dimension Films,1995-09-01,16.0,Released,The Prophecy,6.4
Demi Moore,Roland Joffé,10533,50000000.0,Drama,0114345,en,6.752119,/g46rChf49Qgq28RJ22iWwvsK7nO.jpg,Hollywood Pictures,1995-10-13,10382407.0,Released,The Scarlet Letter,5.5
Elizabeth Berkley,Paul Verhoeven,10802,45000000.0,Drama,0114436,en,17.502375,/7O2SxrsXYaGFZ5cZgJF0Ab5SV5J.jpg,United Artists,1995-09-22,20350754.0,Released,Showgirls,4.9
Harvey Keitel,Wayne Wang,10149,7000000.0,Comedy,0114478,en,5.5529459999999995,/dku3aLprH3j1ilSsubW9Pbgfe0y.jpg,Miramax Films,1995-06-09,8349430.0,Released,Smoke,7.2
Natasha Henstridge,Roger Donaldson,9348,35000000.0,Science Fiction,0114508,en,13.492845,/94P6kzKH8aPmQmPr9yZjgy7BtQQ.jpg,Metro-Goldwyn-Mayer (MGM),1995-07-07,113374103.0,Released,Species,5.5
Ralph Fiennes,Kathryn Bigelow,281,42000000.0,Crime,0114558,en,11.223055,/rXvy5hG9OeVmgnv9w4IhQxhqEKD.jpg,Lightstorm Entertainment,1995-10-13,7959291.0,Released,Strange Days,6.8
Daryl Hannah,Wesley Strick,79593,14000000.0,Thriller,0114666,en,1.8204189999999998,/uCPwXcYZ8G5Xi5h8zonBco980Dk.jpg,Hollywood Pictures,1995-09-08,5780000.0,Released,The Tie That Binds,4.6
Steven Seagal,Geoff Murphy,3512,60000000.0,Action,0114781,en,7.490247,/6Z1p71nkm45cYuIZWOx5JSCYc0o.jpg,Regency Enterprises,1995-07-13,104324083.0,Released,Under Siege 2: Dark Territory,5.6
Keanu Reeves,Alfonso Aráu,9560,20000000.0,Drama,0114887,en,9.715639,/iZ4FNVYVUx6NS7HXMiNJTGgSo7H.jpg,Twentieth Century Fox Film Corporation,1995-08-11,50012507.0,Released,A Walk in the Clouds,6.5
Kevin Costner,Kevin Reynolds,9804,175000000.0,Adventure,0114898,en,16.885184,/yordVJcPLh3VNRL7bXzFIBEhXRr.jpg,Universal Pictures,1995-07-28,264218220.0,Released,Waterworld,5.9
Ethan Hawke,Richard Linklater,76,2500000.0,Drama,0112471,en,11.304979,/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg,Detour Film Production,1995-01-27,5535405.0,Released,Before Sunrise,7.7
Adam Sandler,Tamra Davis,11017,10000000.0,Comedy,0112508,en,6.638116,/5mP8F0NYSVrwrlWRCSD4uywMNnX.jpg,Jack Giarraputo Productions,1995-02-10,26488734.0,Released,Billy Madison,6.2
Whoopi Goldberg,Herbert Ross,9382,21000000.0,Comedy,0112571,en,3.030309,/dcgbt8FkRLvQjaheVlylPSQeTKC.jpg,Regency Enterprises,1995-02-03,23450000.0,Released,Boys on the Side,6.3
Brian O'Halloran,Kevin Smith,2292,27000.0,Comedy,0109445,en,10.513367,/dmNytzvQTjylI83qrgDoS1KQ0ev.jpg,Miramax Films,1994-09-13,3151130.0,Released,Clerks,7.4
Johnny Depp,Jeremy Leven,1909,25000000.0,Romance,0112883,en,7.438934,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,New Line Cinema,1994-10-01,22200000.0,Released,Don Juan DeMarco,6.3
Michael Douglas,Barry Levinson,8984,55000000.0,Drama,0109635,en,11.812244,/qbwcjmHnXkeE8l7wNBsdnlrp3J4.jpg,Warner Bros.,1994-12-09,214015089.0,Released,Disclosure,5.9
Jim Carrey,Peter Farrelly,8467,16000000.0,Comedy,0109686,en,9.844558000000001,/3PEAkZHa8ehfUkuKbzmQNRTTAAs.jpg,New Line Cinema,1994-12-16,247275374.0,Released,Dumb and Dumber,6.5
Johnny Depp,Tim Burton,522,18000000.0,Comedy,0109707,en,11.720358000000001,/9qBe2sUDyY2dFH1iHq0SZb1G4QG.jpg,Touchstone Pictures,1994-09-27,5887457.0,Released,Ed Wood,7.3
Jeff Goldblum,Brett Leonard,27303,15000000.0,Drama,0113303,en,8.182165,/oVaurD05v55CklwT62uZwENXDw1.jpg,TriStar Pictures,1995-03-03,12201255.0,Released,Hideaway,5.0
William Gates,Steve James,14275,700000.0,Documentary,0110057,en,9.47666,/g5yIxuzZ3LFRxDa8SBQybJJhXng.jpg,Fine Line Features,1994-09-12,7830611.0,Released,Hoop Dreams,7.7
Melanie Lynskey,Peter Jackson,1024,5000000.0,Drama,0110005,en,9.438042,/5ek49TUeqStPmKwNdxrCSUAdXNe.jpg,WingNut Films,1994-09-02,3049135.0,Released,Heavenly Creatures,6.9
Sinbad,Randall Miller,17207,10500000.0,Comedy,0110066,en,2.688562,/hJ1t3dz51ZirOZVzse9LpmW5Mnw.jpg,Caravan Pictures,1995-01-06,26325256.0,Released,Houseguest,6.0
Brad Pitt,Neil Jordan,628,60000000.0,Horror,0110148,en,11.970205,/hldXwwViSfHJS0kIJr07KBGmHJI.jpg,Geffen Pictures,1994-11-11,223664608.0,Released,Interview with the Vampire,7.2
Nick Nolte,James Ivory,87729,14000000.0,Drama,0113463,en,1.596058,/qKr3Mgo1HB3HkGTAVoVEpOSWlp2.jpg,Merchant Ivory Productions,1995-03-31,2474000.0,Released,Jefferson in Paris,5.2
Arnold Schwarzenegger,Ivan Reitman,6280,60000000.0,Comedy,0110216,en,6.710215,/bwt2hkLGKo5KAVMCw4u1umUPhax.jpg,Universal Pictures,1994-11-22,37000000.0,Released,Junior,4.7
Mark Hamill,George Lucas,11,11000000.0,Adventure,0076759,en,42.149696999999996,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,Lucasfilm,1977-05-25,775398007.0,Released,Star Wars,8.1
Brad Pitt,Edward Zwick,4476,30000000.0,Adventure,0110322,en,12.199047,/uh0sJcx3SLtclJSuKAXl6Tt6AV0.jpg,Bedford Falls Productions,1994-12-16,160638883.0,Released,Legends of the Fall,7.2
Jessica Lange,Stephen Gyllenhaal,28313,17000000.0,Drama,0113691,en,7.698525999999999,/h0IjNfD1D7WVR70JpvMMWhNVx4N.jpg,Paramount Pictures,1995-03-17,7603766.0,Released,Losing Isaiah,6.4
Robert De Niro,Kenneth Branagh,3036,45000000.0,Drama,0109836,en,14.287753,/uG0YLHdiBuWBv99MLwthucsvKLZ.jpg,American Zoetrope,1994-11-04,112006296.0,Released,Mary Shelley's Frankenstein,6.1
Sarah Jessica Parker,David Frankel,17402,6.0,Comedy,0113808,en,1.1372659999999999,/jn2kmqCgRcloNYr121BB4BmgSRu.jpg,Hollywood Pictures,1995-01-27,5.0,Released,Miami Rhapsody,5.6
Jodie Foster,Michael Apted,1945,31000000.0,Drama,0110638,en,5.930957,/4XLF6QkUqMDL5SLDEw1nrpSMk8N.jpg,Twentieth Century Fox Film Corporation,1994-12-23,106683817.0,Released,Nell,6.1
Woody Harrelson,Oliver Stone,241,34000000.0,Crime,0110632,en,11.226856,/w5sruoTQ87PFAGRJQyyaCOM1C4A.jpg,Regency Enterprises,1994-08-25,50282766.0,Released,Natural Born Killers,6.9
Dustin Hoffman,Wolfgang Petersen,6950,50000000.0,Action,0114069,en,13.676444,/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg,Kopelson Entertainment,1995-03-10,189859560.0,Released,Outbreak,6.4
Marisa Tomei,Mira Nair,63020,11000000.0,Comedy,0114113,en,1.4335440000000002,/paSbLkZL35t2fmdxoQNHv6ckVjw.jpg,"Samuel Goldwyn Company, The",1995-05-12,2832826.0,Released,The Perez Family,6.6
John Travolta,Quentin Tarantino,680,8000000.0,Thriller,0110912,en,140.95023600000002,/dM2w364MScsjFf8pfMbaWUcWrR.jpg,Miramax Films,1994-09-10,213928762.0,Released,Pulp Fiction,8.3
Sharon Stone,Sam Raimi,12106,32000000.0,Action,0114214,en,7.54701,/50ZzhAMO6nunlCp7FrGj7VoLxJV.jpg,TriStar Pictures,1995-02-09,18552460.0,Released,The Quick and the Dead,6.2
Marcello Mastroianni,Robert Altman,3586,15000000.0,Drama,0110907,en,6.2594330000000005,/jP8ONbgwpQm5ojrtFuKCwvG1wCs.jpg,Miramax Films,1994-12-23,11300653.0,Released,Prêt-à-Porter,5.3
Michelle Nicastro,Richard Rich,22586,35000000.0,Animation,0111333,en,8.910461999999999,/oYp2bckWNBKOIbznjAfypVoMOFl.jpg,Rich Animation Studios,1994-11-18,9771658.0,Released,The Swan Princess,6.5
Sylvester Stallone,Luis Llosa,2636,45000000.0,Action,0111255,en,10.388183,/flK0OtdFRvfbs5BixEqU327H8ZB.jpg,Jerry Weintraub Productions,1994-10-07,170362582.0,Released,The Specialist,5.5
Kurt Russell,Roland Emmerich,2164,55000000.0,Action,0111282,en,13.328923999999999,/39WsfbB5BshvdbPAYRFXdsjC481.jpg,Centropolis Entertainment,1994-10-27,196567262.0,Released,Stargate,6.8
Tim Allen,John Pasquin,11395,22000000.0,Fantasy,0111070,en,9.665424,/hrZjAYAF1o37k4Qb442c4yxwVLw.jpg,Walt Disney Pictures,1994-11-10,189833357.0,Released,The Santa Clause,6.3
Tim Robbins,Frank Darabont,278,25000000.0,Drama,0111161,en,51.645403,/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg,Castle Rock Entertainment,1994-09-23,28341469.0,Released,The Shawshank Redemption,8.5
Lori Petty,Rachel Talalay,9067,25000000.0,Action,0114614,en,7.602086999999999,/n3QWQhb5oVJxTLNKMLmA9xC5XwB.jpg,Trilogy Entertainment Group,1995-03-31,4064495.0,Released,Tank Girl,5.5
Patrick Stewart,David Carson,193,38000000.0,Science Fiction,0111280,en,8.105708,/wjrXjlNpDq9U8vYmAwf420yDFtn.jpg,Paramount Pictures,1994-11-17,120000000.0,Released,Star Trek: Generations,6.4
Clarence Williams III,Rusty Cundieff,25066,6000000.0,Crime,0114609,en,2.86007,/3OrapxFNr12AhRxupQ8Z2jP1D13.jpg,40 Acres & A Mule Filmworks,1995-05-24,12000000.0,Released,Tales from the Hood,5.4
Johnny Depp,Lasse Hallström,1587,11000000.0,Romance,0108550,en,10.3919,/jQLoOPwNxyILwDbdhn9DsfQz0Sg.jpg,Paramount Pictures,1993-12-17,10032765.0,Released,What's Eating Gilbert Grape,7.5
Denzel Washington,Brett Leonard,9271,30000000.0,Action,0114857,en,5.1883989999999995,/7vdg9lA1un8TrNLlLKsaQtVqs4a.jpg,Paramount Pictures,1995-08-04,24048000.0,Released,Virtuosity,5.4
Sandra Bullock,Jon Turteltaub,2064,17000000.0,Comedy,0114924,en,15.783615,/9StV7DX4ZtRZGJs9VcVEPvxIKL6.jpg,Caravan Pictures,1995-04-21,182057016.0,Released,While You Were Sleeping,6.5
Toni Collette,P.J. Hogan,236,3000000.0,Drama,0110598,en,5.254847,/qoZShHm8QTrHAR80LypwI0SYp8I.jpg,Ciby 2000,1994-09-29,15119639.0,Released,Muriel's Wedding,6.9
Jim Carrey,Tom Shadyac,3049,15000000.0,Comedy,0109040,en,11.247957000000001,/nZirljb8XYbKTWsRQTplDGhx39Q.jpg,Warner Bros.,1994-02-04,107217396.0,Released,Ace Ventura: Pet Detective,6.4
Hugh Grant,Roman Polanski,10497,5000000.0,Thriller,0104779,en,11.298195,/sUiqWj0k5oPcThd1WaXvt9Vymzr.jpg,Fine Line Features,1992-09-02,1862805.0,Released,Bitter Moon,7.0
